当前最火爆文章：MambaOut 讲了什么？Mamba到底有没有用？
https://www.bilibili.com/video/BV1gy411Y7xa/

00:09 大家好
00:10 我是PHDV道
00:11 想一个10万粉丝的牌子呀
00:13 希望大家能够去多多的关注
00:15 那么之前呢在群里呢有很多人说呢
00:17 应该讲讲M8out
00:18 所以今天呢就给大家讲讲M8out
00:20 这是我们群里的投票最高的一个文章
00:22 所以说呢mamba out做了件什么事呢
00:24 其实非常的简单
00:25 他的问题呢就是说我们真的需要MANA
00:28 来做我们这样一个图像的一个任务吗
00:30 所以说呢他呢就把这个man
00:31 把这个主要内容就是SSM这个模块
00:34 从这个里面的给扔掉
00:35 你看这个它就是它的模型
00:36 它把这个SSM扔掉
00:38 唉
00:38 只保留了它里面的这个其他的这些部分
00:40 比如说这个convolution啊
00:41 这个部分
00:42 然后呢他又去做了一下这个实际的结果
00:45 发现呢V班霸呀
00:46 还有曼巴out呢
00:47 你看曼巴out的效果就比微班霸的要好一些
00:50 所以V麦霸呢有可能就是这个man霸呢
00:52 并没有起到一个什么实际上的一个作用
00:55 哎mea out呢把这个曼A扔掉了之后呢
00:57 效果呢依然是非常不错的
00:58 所以说呢他就是问一个问题
01:00 就MANA这个东西到底有没有用呢
01:02 那么他最开始呢给大家纪念了一下这个科比
01:05 布莱恩特对吧
01:06 就是what can i say
01:07 曼巴奥
01:07 就是这个科比呢在2016年夺冠了之后呢
01:10 他最后说的一句话
01:11 当然了
01:12 我不是特别关心体育啊
01:13 所以说这个问题呢只能问问拆JBT的
01:15 OK那么呢这就是map out对吧
01:17 他就是最开始的时候
01:18 你看他放了一个科比的这样的一个这个东西
01:21 然后呢
01:22 我们来看一看这个科比这个部分是怎么回事
01:24 因为我完全不知道我这个对体育不关心好
01:27 那就问问这个拆解器说卖8out什么意思
01:30 以及就是科比当时坠机的这样一个描述
01:32 是怎么样的
01:33 那么呢他就说呢是已故的这个篮球
01:36 这个明星对吧
01:37 一个传奇叫科比布莱恩特
01:39 他的这个职业生涯比赛中最后一场说的一句话
01:42 就是他彻底的就告别篮球场
01:44 是2016年4月13号
01:46 他退役之前的最后一刻
01:47 他呢在这个场上呢应该得了很多分数
01:50 然后带领的这个洛杉矶的湖人队
01:52 战胜了这个犹他的爵士队之后呢
01:54 就发表了一个演讲
01:55 最后呢就说了一句话
01:56 叫做啊这个曼巴out对吧
01:58 就他自己就是曼巴
02:00 因为他呢
02:01 这个我觉得他长得其实也很像曼巴是吧
02:04 所以说他就是像那个毒蛇嘛
02:06 所以他
02:10 所以说他就被叫做这个黑曼巴这样一个情况
02:13 那么呢科比呢是已故的一个篮球的传奇了
02:16 那非常不幸的
02:17 他在这个2020年1月26号的时候呢
02:20 他呢和他的这个女儿呢一起乘坐这个直升机
02:23 结果呢这个直升机呢发生了这个事故啊
02:26 就导致了他们就是就是敌难了
02:29 好那他这个当天的时候呢
02:31 这个气这个情况呢不太好对吧
